DateStart,DateEnd,sleepMinutes
18-11-2015 19:57:00,19-11-2015 00:50:00,265
19-11-2015 01:19:00,19-11-2015 07:41:00,374
19-11-2015 15:21:00,19-11-2015 16:49:00,73
19-11-2015 20:29:00,19-11-2015 21:38:00,54
19-11-2015 22:01:00,19-11-2015 23:04:00,64
20-11-2015 00:10:00,20-11-2015 01:57:00,92
20-11-2015 02:22:00,20-11-2015 08:44:00,383
20-11-2015 09:57:00,20-11-2015 11:39:00,86
20-11-2015 12:53:00,20-11-2015 13:55:00,63
20-11-2015 16:03:00,20-11-2015 17:20:00,58
21-11-2015 01:34:00,21-11-2015 08:29:00,416
21-11-2015 16:42:00,21-11-2015 18:30:00,109
22-11-2015 02:19:00,22-11-2015 11:45:00,567
22-11-2015 14:32:00,22-11-2015 15:39:00,68
22-11-2015 23:08:00,23-11-2015 06:49:00,461
23-11-2015 08:38:00,23-11-2015 09:44:00,67
23-11-2015 10:26:00,23-11-2015 11:34:00,69
23-11-2015 15:15:00,23-11-2015 15:45:00,31
23-11-2015 23:11:00,24-11-2015 08:18:00,547
24-11-2015 08:54:00,24-11-2015 09:25:00,32
24-11-2015 17:38:00,24-11-2015 18:00:00,23
24-11-2015 22:22:00,24-11-2015 23:34:00,73
25-11-2015 00:17:00,25-11-2015 08:22:00,477
26-11-2015 00:15:00,26-11-2015 09:32:00,558
26-11-2015 10:03:00,26-11-2015 10:29:00,27
26-11-2015 14:49:00,26-11-2015 15:09:00,21
27-11-2015 00:57:00,27-11-2015 08:46:00,470
27-11-2015 09:51:00,27-11-2015 10:31:00,41
27-11-2015 11:05:00,27-11-2015 11:40:00,36
28-11-2015 01:44:00,28-11-2015 07:12:00,329
28-11-2015 07:46:00,28-11-2015 11:10:00,205
28-11-2015 16:09:00,28-11-2015 16:56:00,48
29-11-2015 06:04:00,29-11-2015 08:40:00,157
29-11-2015 11:40:00,29-11-2015 12:05:00,26
29-11-2015 19:21:00,29-11-2015 19:46:00,26
29-11-2015 20:18:00,29-11-2015 23:30:00,193
30-11-2015 00:47:00,30-11-2015 07:18:00,392
30-11-2015 09:58:00,30-11-2015 11:51:00,114
30-11-2015 14:34:00,30-11-2015 15:24:00,51
30-11-2015 20:22:00,30-11-2015 22:14:00,113
30-11-2015 22:48:00,01-12-2015 09:23:00,627
01-12-2015 10:39:00,01-12-2015 10:58:00,20
01-12-2015 12:50:00,01-12-2015 13:30:00,41
01-12-2015 14:32:00,01-12-2015 15:41:00,53
01-12-2015 19:29:00,01-12-2015 22:11:00,137
01-12-2015 23:20:00,02-12-2015 05:42:00,382
02-12-2015 09:21:00,02-12-2015 10:01:00,41
02-12-2015 10:43:00,02-12-2015 11:54:00,72
02-12-2015 19:09:00,02-12-2015 21:21:00,133
02-12-2015 23:02:00,03-12-2015 04:03:00,301
03-12-2015 04:45:00,03-12-2015 07:31:00,167
04-12-2015 00:35:00,04-12-2015 09:20:00,526
05-12-2015 01:45:00,05-12-2015 02:58:00,74
05-12-2015 04:13:00,05-12-2015 07:02:00,170
05-12-2015 07:34:00,05-12-2015 08:58:00,85
06-12-2015 04:05:00,06-12-2015 10:30:00,363
07-12-2015 00:22:00,07-12-2015 08:13:00,472
07-12-2015 23:13:00,08-12-2015 08:58:00,585
09-12-2015 00:35:00,09-12-2015 07:24:00,410
10-12-2015 00:44:00,10-12-2015 04:39:00,236
10-12-2015 05:31:00,10-12-2015 08:22:00,172
10-12-2015 23:18:00,11-12-2015 07:05:00,442
12-12-2015 02:44:00,12-12-2015 10:28:00,465
13-12-2015 00:22:00,13-12-2015 03:36:00,195
13-12-2015 04:20:00,13-12-2015 07:57:00,218
13-12-2015 23:22:00,14-12-2015 07:43:00,501
15-12-2015 00:06:00,15-12-2015 01:35:00,90
15-12-2015 02:43:00,15-12-2015 08:50:00,368
16-12-2015 00:47:00,16-12-2015 06:28:00,342
17-12-2015 00:34:00,17-12-2015 07:48:00,435
18-12-2015 01:31:00,18-12-2015 10:19:00,529
19-12-2015 02:46:00,19-12-2015 04:48:00,123
19-12-2015 05:31:00,19-12-2015 07:54:00,144
19-12-2015 09:00:00,19-12-2015 10:22:00,83
20-12-2015 03:21:00,20-12-2015 10:22:00,422
20-12-2015 23:49:00,21-12-2015 08:14:00,505
21-12-2015 23:35:00,22-12-2015 08:55:00,560
23-12-2015 00:18:00,23-12-2015 08:58:00,521
23-12-2015 21:39:00,23-12-2015 22:14:00,36
23-12-2015 23:33:00,24-12-2015 03:57:00,264
24-12-2015 04:37:00,24-12-2015 05:32:00,56
25-12-2015 01:59:00,25-12-2015 05:07:00,160
25-12-2015 07:07:00,25-12-2015 09:50:00,141
26-12-2015 01:39:00,26-12-2015 10:24:00,526
27-12-2015 02:17:00,27-12-2015 08:35:00,379
27-12-2015 23:13:00,28-12-2015 07:16:00,483
28-12-2015 22:44:00,29-12-2015 04:15:00,309
29-12-2015 05:15:00,29-12-2015 06:40:00,86
30-12-2015 02:41:00,30-12-2015 06:04:00,204
30-12-2015 07:11:00,30-12-2015 09:26:00,136
30-12-2015 10:00:00,30-12-2015 10:56:00,57
31-12-2015 00:17:00,31-12-2015 09:19:00,543
01-01-2016 06:45:00,01-01-2016 08:09:00,85
01-01-2016 10:17:00,01-01-2016 12:31:00,135
01-01-2016 23:07:00,02-01-2016 06:13:00,426
02-01-2016 06:58:00,02-01-2016 07:49:00,52
02-01-2016 23:49:00,03-01-2016 06:03:00,374
03-01-2016 08:57:00,03-01-2016 10:17:00,81
03-01-2016 22:36:00,04-01-2016 06:36:00,463
04-01-2016 23:36:00,05-01-2016 02:09:00,153
05-01-2016 02:44:00,05-01-2016 07:12:00,269
05-01-2016 23:23:00,06-01-2016 01:31:00,128
06-01-2016 02:02:00,06-01-2016 02:34:00,33
06-01-2016 04:00:00,06-01-2016 07:55:00,236
07-01-2016 00:10:00,07-01-2016 08:13:00,484
07-01-2016 23:01:00,08-01-2016 08:30:00,543
09-01-2016 01:11:00,09-01-2016 03:40:00,150
09-01-2016 04:44:00,09-01-2016 07:54:00,191
10-01-2016 00:25:00,10-01-2016 08:35:00,491
10-01-2016 23:18:00,11-01-2016 03:35:00,257
11-01-2016 04:19:00,11-01-2016 07:33:00,195
12-01-2016 00:16:00,12-01-2016 08:40:00,505
12-01-2016 23:19:00,13-01-2016 07:59:00,494
14-01-2016 00:06:00,14-01-2016 07:33:00,448
15-01-2016 00:08:00,15-01-2016 00:48:00,41
15-01-2016 02:09:00,15-01-2016 07:33:00,325
16-01-2016 23:40:00,17-01-2016 08:24:00,524
17-01-2016 22:27:00,18-01-2016 08:11:00,584
18-01-2016 23:22:00,19-01-2016 00:43:00,81
19-01-2016 02:08:00,19-01-2016 05:37:00,210
19-01-2016 23:17:00,20-01-2016 07:38:00,501
20-01-2016 23:40:00,21-01-2016 07:56:00,496
22-01-2016 01:52:00,22-01-2016 09:01:00,430
23-01-2016 00:08:00,23-01-2016 07:49:00,462
23-01-2016 23:27:00,24-01-2016 03:36:00,249
24-01-2016 04:08:00,24-01-2016 08:03:00,236
25-01-2016 02:20:00,25-01-2016 03:11:00,52
25-01-2016 06:37:00,25-01-2016 07:55:00,79
25-01-2016 23:46:00,26-01-2016 07:42:00,476
26-01-2016 23:11:00,27-01-2016 09:02:00,591
28-01-2016 00:43:00,28-01-2016 01:32:00,50
28-01-2016 03:59:00,28-01-2016 08:56:00,298
29-01-2016 01:03:00,29-01-2016 06:08:00,306
29-01-2016 07:20:00,29-01-2016 09:06:00,85
30-01-2016 03:15:00,30-01-2016 04:31:00,77
30-01-2016 07:15:00,30-01-2016 10:18:00,158
30-01-2016 23:37:00,31-01-2016 00:15:00,38
31-01-2016 00:47:00,31-01-2016 06:15:00,329
01-02-2016 00:35:00,01-02-2016 08:04:00,422
01-02-2016 23:40:00,02-02-2016 08:07:00,507
02-02-2016 23:29:00,03-02-2016 00:57:00,88
03-02-2016 01:56:00,03-02-2016 02:40:00,45
03-02-2016 04:25:00,03-02-2016 07:10:00,166
04-02-2016 02:50:00,04-02-2016 04:18:00,89
04-02-2016 04:55:00,04-02-2016 06:22:00,88
05-02-2016 02:10:00,05-02-2016 10:08:00,479
06-02-2016 04:49:00,06-02-2016 09:04:00,235
07-02-2016 01:10:00,07-02-2016 10:35:00,566
08-02-2016 04:47:00,08-02-2016 08:33:00,227
09-02-2016 00:17:00,09-02-2016 00:51:00,35
09-02-2016 02:26:00,09-02-2016 04:56:00,131
09-02-2016 05:27:00,09-02-2016 07:36:00,130
09-02-2016 23:50:00,10-02-2016 01:18:00,88
10-02-2016 03:10:00,10-02-2016 04:00:00,51
10-02-2016 05:09:00,10-02-2016 07:09:00,121
10-02-2016 23:13:00,11-02-2016 07:33:00,500
12-02-2016 00:36:00,12-02-2016 02:19:00,104
12-02-2016 05:00:00,12-02-2016 06:36:00,97
12-02-2016 07:20:00,12-02-2016 08:29:00,70
12-02-2016 09:30:00,12-02-2016 10:35:00,66
13-02-2016 04:37:00,13-02-2016 05:55:00,79
13-02-2016 07:31:00,13-02-2016 08:54:00,84
14-02-2016 04:29:00,14-02-2016 05:08:00,40
14-02-2016 05:49:00,14-02-2016 10:20:00,256
15-02-2016 00:11:00,15-02-2016 06:31:00,381
15-02-2016 07:36:00,15-02-2016 08:21:00,46
15-02-2016 23:41:00,16-02-2016 00:50:00,69
16-02-2016 02:25:00,16-02-2016 07:48:00,324
17-02-2016 00:17:00,17-02-2016 08:16:00,460
17-02-2016 23:55:00,18-02-2016 07:36:00,461
19-02-2016 01:10:00,19-02-2016 03:25:00,136
19-02-2016 04:10:00,19-02-2016 06:10:00,121
19-02-2016 07:15:00,19-02-2016 09:19:00,125
19-02-2016 23:53:00,20-02-2016 00:53:00,60
20-02-2016 01:26:00,20-02-2016 02:25:00,60
20-02-2016 03:52:00,20-02-2016 07:50:00,239
20-02-2016 23:38:00,21-02-2016 10:16:00,638
22-02-2016 00:30:00,22-02-2016 07:48:00,439
22-02-2016 22:46:00,23-02-2016 01:27:00,161
23-02-2016 02:40:00,23-02-2016 07:44:00,289
24-02-2016 00:15:00,24-02-2016 01:58:00,104
24-02-2016 05:05:00,24-02-2016 07:46:00,162
25-02-2016 00:35:00,25-02-2016 07:38:00,424
25-02-2016 23:57:00,26-02-2016 07:35:00,433
27-02-2016 02:53:00,27-02-2016 03:53:00,61
27-02-2016 04:59:00,27-02-2016 08:52:00,207
27-02-2016 23:36:00,28-02-2016 07:26:00,446
28-02-2016 23:41:00,29-02-2016 08:01:00,500
29-02-2016 22:54:00,29-02-2016 23:58:00,65
01-03-2016 02:02:00,01-03-2016 07:38:00,337
01-03-2016 22:52:00,02-03-2016 03:27:00,275
02-03-2016 04:00:00,02-03-2016 06:49:00,170
02-03-2016 23:33:00,03-03-2016 01:18:00,105
03-03-2016 02:24:00,03-03-2016 02:59:00,36
03-03-2016 04:10:00,03-03-2016 07:01:00,172
04-03-2016 00:42:00,04-03-2016 08:58:00,497
04-03-2016 23:54:00,05-03-2016 08:41:00,527
05-03-2016 21:33:00,05-03-2016 22:31:00,59
05-03-2016 23:21:00,06-03-2016 00:12:00,51
06-03-2016 02:17:00,06-03-2016 08:56:00,377
06-03-2016 23:46:00,07-03-2016 04:59:00,286
07-03-2016 05:24:00,07-03-2016 07:44:00,141
07-03-2016 23:43:00,08-03-2016 02:25:00,162
08-03-2016 03:15:00,08-03-2016 05:30:00,108
08-03-2016 05:53:00,08-03-2016 06:55:00,63
08-03-2016 23:21:00,09-03-2016 07:46:00,480
09-03-2016 23:25:00,10-03-2016 01:24:00,119
10-03-2016 03:23:00,10-03-2016 07:21:00,239
11-03-2016 01:20:00,11-03-2016 02:54:00,95
11-03-2016 04:14:00,11-03-2016 08:45:00,272
12-03-2016 01:45:00,12-03-2016 08:46:00,422
13-03-2016 03:21:00,13-03-2016 09:20:00,360
13-03-2016 21:59:00,14-03-2016 08:05:00,584
14-03-2016 23:36:00,15-03-2016 01:19:00,103
15-03-2016 01:52:00,15-03-2016 04:02:00,131
15-03-2016 05:13:00,15-03-2016 06:40:00,88
15-03-2016 23:51:00,16-03-2016 02:59:00,167
16-03-2016 03:24:00,16-03-2016 07:37:00,254
16-03-2016 23:47:00,17-03-2016 00:46:00,59
17-03-2016 02:00:00,17-03-2016 06:32:00,273
17-03-2016 23:15:00,18-03-2016 07:46:00,511
18-03-2016 23:48:00,19-03-2016 01:31:00,103
19-03-2016 03:15:00,19-03-2016 06:03:00,169
19-03-2016 06:49:00,19-03-2016 08:49:00,121
20-03-2016 04:37:00,20-03-2016 07:42:00,186
21-03-2016 05:20:00,21-03-2016 06:24:00,65
21-03-2016 23:51:00,22-03-2016 05:11:00,320
22-03-2016 06:01:00,22-03-2016 07:41:00,101
22-03-2016 23:56:00,23-03-2016 03:09:00,193
23-03-2016 04:16:00,23-03-2016 07:58:00,195
23-03-2016 23:24:00,24-03-2016 00:44:00,80
24-03-2016 03:09:00,24-03-2016 06:21:00,193
24-03-2016 23:53:00,25-03-2016 07:40:00,467
26-03-2016 00:47:00,26-03-2016 02:16:00,90
26-03-2016 05:07:00,26-03-2016 07:05:00,119
26-03-2016 16:54:00,26-03-2016 17:59:00,66
26-03-2016 23:49:00,27-03-2016 03:26:00,157
27-03-2016 04:42:00,27-03-2016 11:14:00,393
28-03-2016 00:12:00,28-03-2016 08:16:00,458
28-03-2016 23:14:00,29-03-2016 07:43:00,509
29-03-2016 23:28:00,30-03-2016 07:29:00,456
31-03-2016 00:08:00,31-03-2016 02:33:00,146
31-03-2016 03:52:00,31-03-2016 06:59:00,188
